link,description,filetype,group,order within group
https://goo.gl/maps/HxzPgNzwLaE2,"AGM venue: The Bull, East Farleigh. 7 pm, Monday 11 September 2017",map,AGM2017,1
https://drive.google.com/open?id=0B1cbuv4IxxadSDNqZnZ0ZzVoRVE,BYFC AGM 2016 Minutes ,docx,AGM2017,2
https://drive.google.com/open?id=0B1cbuv4IxxadOEhZLVRnVVZlZEE,BYFC Annual Report 2016/17,docx,AGM2017,3
https://drive.google.com/open?id=0B1cbuv4IxxadcEs3Q2pIa0dMQUk,BYFC 2016/17 – P&L and Balance Sheet,xlsx,AGM2017,4
https://drive.google.com/open?id=0B1cbuv4IxxadbWo0dG5UN3dWUXM,BYFC – Subs Control Account,xlsx,AGM2017,5
https://goo.gl/maps/HxzPgNzwLaE2,"Time and place: The Bull, East Farleigh. 8 pm, Monday 11 September 2017",map,2017-10,1
https://drive.google.com/open?id=0B1cbuv4IxxadM0cwTGtQNE1VMzg,Review of club rules (constitution),pdf,2017-10,2
https://drive.google.com/open?id=0B1cbuv4IxxadQkpUamlaT2N4NU0,Fundraising / Volunteer Co-ordinator's Report,pdf,2017-10,3
https://drive.google.com/open?id=0B1cbuv4IxxadbG5OUTRQWDRkSXM,Minutes of September 2017 committee meeting,pdf,2017-10,4
https://drive.google.com/open?id=0B1cbuv4IxxadTS04czNfUGNzZFk,Agenda,docx,2017-09,1
https://drive.google.com/open?id=0B1cbuv4IxxadRGpYZ1VYdVkyeUk,Minutes of June 2017 committee meeting,docx,2017-09,2
