link,description,filetype,group
https://drive.google.com/open?id=0B1cbuv4IxxadcE9PVHpxZjBmdjA,"Club roles (version 5, November 2016)",PDF,docs
https://drive.google.com/open?id=0B1cbuv4IxxadQkhKUXdwRlc2clE,Registration procedure,Word,docs
https://drive.google.com/open?id=0B1cbuv4IxxaddE5Ld3BoUGZEc1E,Subs and expenses form,xlsx,forms
https://drive.google.com/open?id=0B1cbuv4IxxadLThvSTZtb0M0OU0,Subs and expenses form,zip,forms
https://drive.google.com/open?id=0B1cbuv4IxxadWmlEaFRsU3pqTE0,BYFC Accounts 2009-2010,pdf,accounts
https://drive.google.com/open?id=0B1cbuv4IxxadN0g0bHRIaDM2N3M,BYFC Accounts 2010-2011,pdf,accounts
https://drive.google.com/open?id=0B1cbuv4IxxadUHcxaE1UM1oyc28,BYFC Accounts 2012-2013,pdf,accounts
https://drive.google.com/open?id=0B1cbuv4IxxadcUU0QWUxbFpwd0U,BYFC Accounts 2014-2015,pdf,accounts
https://drive.google.com/open?id=0B1cbuv4Ixxadd2d2Z2ZtdGd4M0U,BYFC Accounts 2015-2016,pdf,accounts
https://drive.google.com/open?id=0B1cbuv4IxxadaURxdFU3cHVJdms,Kit Order Form Nike v4,zip,forms
https://drive.google.com/open?id=0B1cbuv4IxxadZGtMWTc2dTkxUVE,Application For Welfare v1,zip,forms
https://drive.google.com/open?id=0B1cbuv4IxxadTThWZVRUN2Zlcjg,Sportsmanship Marking Guidelines,Word,docs
https://drive.google.com/open?id=0B1cbuv4IxxadV0pEMDlIZTlUMzA,Coaching and referee course request form,Word,forms
https://drive.google.com/open?id=0B1cbuv4IxxadZUFMWktFRjdrdTg,Payment Form - Season 2017-18,Word,forms
https://drive.google.com/open?id=0B1cbuv4IxxadNzdBVG52LVhLNFU,Safe-guarding children policy,pdf,policy
https://drive.google.com/open?id=0B1cbuv4IxxadejB4Mi1udjQ3RlU,Intra-club transfers,pdf,policy
https://drive.google.com/open?id=0B1cbuv4Ixxadb04zQld5aWtvNUE,Club rules and constitution,pdf,policy
https://drive.google.com/open?id=0B1cbuv4IxxadUFhGWmk3bE51bkU,Managers’ handbook 2015-16,pdf,policy
https://drive.google.com/open?id=0B1cbuv4IxxadSFFKalBIZUM2NG8,Equality policy,pdf,policy
https://drive.google.com/open?id=0B1cbuv4IxxaddGpTaGdXVVZORHM,Coach development policy,pdf,policy
