agegrp,schoolyear,YBC,name,format,manager,League,homeground,day,time,training,sponsor,sponsorURL,sponsor2,sponsorURL2,blurb,results,leagueTable
5,R,1,Under 5 Buds,Training,Curtis,,"South Street, Barming",Saturday,am,,,,,,Introducing football skills through fun training activities.,,
6,1,1,Under 6 Youth,Training,Curtis,,"South Street, Barming",Saturday,am,,,,,,Continuing to build on football skills leading to understanding of the 5-a-side game. Game play will develop through training and later tournament participation and friendly 5-a-side games.,,
7,2,1,Under 7 Youth,5-a-side,Andy Kemp,Maidstone Invicta Primary League,"Barming School, top right",Saturday,am,"Maplesden, Wednesday, 18.00 - 19.15 (75 mins)",Oaks Flooring,www.oaksflooring.co.uk,,,Oaks Flooring is offering a discount to all members of Barming Youth FC,,
7,2,2,Under 7 Blues,5-a-side,Gary Alp,Maidstone Invicta Primary League,"Barming School, top right",Saturday,am,"Maplesden, Wednesday, 18.00 - 19.15 (75 mins)",Oaks Flooring,www.oaksflooring.co.uk,,,Oaks Flooring is offering a discount to all members of Barming Youth FC,,
7,2,3,Under 7 Colts,5-a-side,Stuart Schofield,Maidstone Invicta Primary League,"South Street, Barming",Saturday,am,"Maplesden, Wednesday, 18.00 - 19.15 (75 mins)",Oaks Flooring,www.oaksflooring.co.uk,,,Oaks Flooring is offering a discount to all members of Barming Youth FC,,
8,3,1,Under 8 Youth,5-a-side,Chris Brinn,Maidstone Invicta Primary League,Poplar Grove,Saturday,am,"Maplesden, Wednesday, 18.00 - 19.15 (75 mins)",Liftec,https://www.liftec.co.uk,,,,,
8,3,2,Under 8 Blues,5-a-side,Chris Kavanagh,Maidstone Invicta Primary League,Poplar Grove,Saturday,am,"Maplesden, Wednesday, 18.00 - 19.15 (75 mins)",Liftec,https://www.liftec.co.uk,,,,http://fulltime-league.thefa.com/ListPublicResult.do?selectedFixtureGroupKey=1_635291733&selectedRelatedFixtureOption=2&selectedClub=&selectedTeam=570841411&selectedDateCode=all&previousSelectedFixtureGroupKey=&previousSelectedClub=&seasonID=58860755&selectedSeason=58860755,
8,3,3,Under 8 Colts,5-a-side,,Maidstone Invicta Primary League,,Saturday,am,,,,,,,,
9,4,1,Under 9 Youth,7-a-side,Keith Matthews,Maidstone Invicta Primary League,"Barming School, top left",Saturday,am,"Maplesden, Tuesday, 18.00 - 19.15 (75 mins)",PS Accounting Solutions Ltd,http://www.psaccountingsolutions.co.uk/,DW Roofing  DWebbroofing@outlook.com,DWebbroofing@outlook.com,,,
9,4,2,Under 9 Blues,7-a-side,Ian Pamphlett,Maidstone Invicta Primary League,"Barming School, top left",Saturday,am,"Maplesden, Wednesday, 18.00 - 19.15 (75 mins)",,,,,,,
9,4,3,Under 9 Colts,7-a-side,Pam Wilson,Maidstone Invicta Primary League,Mereworth,Saturday,am,"Maplesden, Wednesday, 18.00 - 19.15 (75 mins)",*** Seeking sponsorship ***,,,,,,
10,5,1,Under 10 Youth,7-a-side,Alan McMillan,Maidstone Invicta Primary League,"Barming School, top left",Sunday,am,"Maplesden, Tuesday, 18.00 - 19.15 (75 mins)",Croudace Homes,http://www.croudacehomes.co.uk/,,,,,
10,5,2,Under 10 Blues,7-a-side,Alan Newman,Maidstone Invicta Primary League,"Barming School, top left",Sunday,am,"Maplesden, Wednesday, 19.15 - 20.30 (75 mins)",Flex Flooring,http://flexflooring.co.uk/,,,,,
10,5,4,Under 10 Girls,7-a-side,,Kent Girls and Ladies Football league,,Sunday,am,,,,,,,,
11,6,1,Under 11 Youth,9-a-side,Mike Drew,Maidstone Invicta Primary League,"Barming School, bottom",Sunday,am,"Maplesden, Tuesday, 18.00 - 19.15 (75 mins)",Tecomak Specialist Ventilation,https://www.tecomak.com/,Whitings Group Limited,http://www.whitings.co.uk/,,,
11,6,2,Under 11 Blues,9-a-side,Spencer Hart,Maidstone Invicta Primary League,"Barming School, bottom",Sunday,am,"Maplesden, Tuesday, 18.00 - 19.15 (75 mins)",West Flooring,http://www.westflooring.com/,,,,,
11,6,3,Under 11 Colts,9-a-side,,Maidstone Invicta Primary League,,Sunday,am,,,,,,,,
11,6,4,Under 11 Girls,9-a-side,Nat Larby,Kent Girls and Ladies Football league,Mereworth,Sunday,am,"Maplesden, Thursday, 18.10 - 19.20 (70 mins)",Holmes Analytical,,,,,,
12,7,1,Under 12 Youth,9-a-side,Bryan Hudson,Express Cabs Maidstone Boys Primary League,Gatland Lane 2,Sunday,am,"Maplesden, Wednesday, 19.15 - 20.30 (75 mins)",Carpet Next Day,http://www.carpetnextday.co.uk/,,,,http://fulltime-league.thefa.com/ListPublicResult.do?selectedFixtureGroupKey=1_112335786&selectedRelatedFixtureOption=2&selectedClub=&selectedTeam=85728472&selectedDateCode=all&previousSelectedFixtureGroupKey=&previousSelectedClub=&seasonID=872968788&selectedSeason=872968788,"<div id=""lrep642513587"" style=""width: 350px;"">Data loading....<a href=""http://fulltime-league.thefa.com/Index.do?divisionseason=112335786"">click here for U12 D2</a><br/><br/><a href=""http://www.thefa.com/FULL-TIME"">FULL-TIME Home</a></div>
<script language=""javascript"" type=""text/javascript"">
var lrcode = '642513587'
</script>
<script language=""Javascript"" type=""text/javascript"" src=""https://fulltime-league.thefa.com/client/api/cs1.js?v2""></script>"
12,7,2,Under 12 Blues,9-a-side,Neil King,Express Cabs Maidstone Boys Primary League,Gatland Lane 2,Sunday,am,"Maplesden, Wednesday, 19.15 - 20.30 (75 mins)",Croudace Homes,http://www.croudacehomes.co.uk/,Andrew Crease & Co,http://www.alcoprop.co.uk/,,http://fulltime-league.thefa.com/ListPublicResult.do?selectedFixtureGroupKey=1_987798165&selectedRelatedFixtureOption=2&selectedClub=&selectedTeam=706507174&selectedDateCode=all&previousSelectedFixtureGroupKey=&previousSelectedClub=&seasonID=872968788&selectedSeason=872968788,"<div id=""lrep44406353"" style=""width: 350px;"">Data loading....<a href=""http://fulltime-league.thefa.com/Index.do?divisionseason=987798165"">click here for U12 D3</a><br/><br/><a href=""http://www.thefa.com/FULL-TIME"">FULL-TIME Home</a></div>
<script language=""javascript"" type=""text/javascript"">
var lrcode = '44406353'
</script>
<script language=""Javascript"" type=""text/javascript"" src=""https://fulltime-league.thefa.com/client/api/cs1.js?v2""></script>"
12,7,3,Under 12 Colts,9-a-side,Nathan Harrison,Express Cabs Maidstone Boys Primary League,Poplar Grove,Sunday,am,"Maplesden, Wednesday, 19.15 - 20.30 (75 mins)",Fescape Ltd,,,,,http://fulltime-league.thefa.com/ListPublicResult.do?selectedFixtureGroupKey=1_682047383&selectedTeam=159643945&league=920415349&selectedDateCode=all&selectedRelatedFixtureOption=2&divisionseason=682047383,"<div id=""lrep237266519"" style=""width: 350px;"">Data loading....<a href=""http://fulltime-league.thefa.com/Index.do?divisionseason=682047383"">click here for U12 D1</a><br/><br/><a href=""http://www.thefa.com/FULL-TIME"">FULL-TIME Home</a></div>
<script language=""javascript"" type=""text/javascript"">
var lrcode = '237266519'
</script>
<script language=""Javascript"" type=""text/javascript"" src=""https://fulltime-league.thefa.com/client/api/cs1.js?v2""></script>"
